author,comment
@janinedillon917,There is somithing in this that anyonecyou share it can see themselves. If they watch it ❤
@janinedillon917,Great discriptuon of a narcisst
@adulttalks3348,Extraordinary
@CellouZahid,"Psychedelics are just an exceptional mental health breakthrough. It&#39;s quite fascinating how effective they are against Suicidal, depression and anxiety. Saved my life."
@tranphuocloc5629,"<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=1370"">22:50</a> love the &quot;delivery guy&quot; :))))"
@mohinhdochoinhapkhau,"<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=3130"">00:52:10</a>"
@AutumnHawj,All I desire to know is here. <br>Attend to my ignorance!❤️<br>Thank you Chris and Dr. Peterson.
@maderamadera649,"This is one of the few interviews in which the host is really interested in Dr. Peterson&#39;s ideas, not so-called controversies. Thank you for that!"
@OperationDB,12 rules for life saved my life that’s where I started
@Echinaceapalida,Only Jesus can save you. Christ is King!!!
@charles_macmillan,The manscaped ad after talking about Ron Jeremy is the best source of irony I’ve seen in quite some time 🤣
@helmutgensen4738,"Isaiah Berlin&#39;s concept of the &quot;inner citadel&quot; refers to the idea that when external circumstances prevent individuals from achieving their goals, they may retreat inward, focusing on their own thoughts and values as a form of spiritual resilience"
@helmutgensen4738,"It took a whole year. For me to listen, this time, without a filter, with my heart. To ignore the name, the suit, the right-wing politics, the opinions on climate... With the Fall of America, me the full-blown cynic was back from remission. From this low elevation, however, I now see the unique opportunity to regain a sociable mood and prevent self-annihilation. You finally got me!"
@TalesOfHeilotia,"| can agree to most but the marriage, having family for young man just isn&#39;t the best thing to have.  And this is backed by data -  Case mortality rates of suicides were found to be 3.5% for both sexes, 5.2% in males and 2.7% in females. However, among the single population, either divorced or widowed, the probability of death due to suicide was 3.5 times higher (95% CI: 1.5–2.9) as compared to the unmarried. so the best thing for young man is to get financially free ( content with there finances)."
@JohnGrover-g5o,Awsome scott london from scotland !! 🎉🎉🎉🎉🎉
@av_8727,Some people enjoy being nice and compassionate. I don’t agree that all very sweet people are not truly very sweet. God calls on us to love others.
@bradc1109,"Mr Peterson<br>I would love to date your daughter<br>No other father I could say im so proud of, Sir<br>Keep up the great work<br>Love Brad from Toronto<br>P.s. hopefully Trump finds à place on his team for you"
@brycebonham7333,"<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=3138"">52:18</a> doodoo"
@BlakoutSpade,"<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=1047"">17:27</a> lower your standards through humility and humbleness"
@aaronfroland3,Only  1/3 through this and it is such a powerful conversation!!!!
@aaronfroland3,Ahhh! Validation. Yes. I seek it from outside sources. I appreciate you and Dr Peterson! 🤘🔥
@Sewwhatsthepoint,"If u want me to stop wasting my life, then why did you co-create this video?!?!<br>Ugghh."
@jayrudo6280,The difference between an optimist and a pessimist is experience
@ivanblazevic9353,"At 33, I am at the worst stage of my life, couldn&#39;t have ever imagined as a 10 year old happy, cheerful kid that life would bring this up on me.... And a lot of it is on me... wasted more than a decade of my life on weed and bad choices, although I did work hard during that entire time. Anyway, I did the best i knew at the moment, but I gave up on so much easy pleasures for the last few weeks, got on antidepressants a few days ago and at this moment, life is so hard!!! BUT, never been more determined to fight like hell. Leaving this comment so I can come back to the video because I&#39;ve just listened to the first 30 minutes and it&#39;s very inspiring. Wishing the best to all the kind hearted people on this world! &lt;3"
@emmersondwarika9305,This is the best Jordan Peterson podcast ever done in that it has at least a little for everyone. Great job!!
@NavaidSyed,"Nothing is real. It is all Maya, an illusion created by consciousness."
@NavaidSyed,"Enlightenment is not atheism. It was deistic, and atheism appropriated it. So, when you assert that the Enlightenment perspective is incorrect, you are actually claiming that atheism is mistaken. The genuinely enlightened, deistic viewpoint is entirely accurate and logical. Yes, the Big Bang is under scrutiny, but it remains our best theory."
@NavaidSyed,The first library of books was found in Sumeria.
@NavaidSyed,The Cause and its laws of nature are the most proper and most logical guides for morality
@NavaidSyed,Politics is for far less intelligent people.
@NavaidSyed,Thankful and unthankful people may come from any background.
@stevenadams5267,His first book is a tough read
@Sioux-free,"Indeed! Stop wasting your life starting with not watching or listening to Peterson the intellectual of a buffoon. The brain is a terrible thing to waste, and is time."
@n.s.6070,"I like Peterson but the numbers of time that he interrupts Chris, while he&#39;s building up to a question, is simply not funny and outright rude."
@JesusisComingSoon2410,Negative beliefs fade when you align with God’s plan—renew your mind with His truth. Faith over fear—God is calling you to walk in freedom and purpose!
@PEACHWAVEBEATS,"did he have botox? 😂 he should stop speaking, can&#39;t stand him, his voice and his nonsense pseudo talk 🤦"
@yolocryptocurrency,great video! i love Jordan Peterson
@NeverSurrenderYourQuest,"To love someone is to say “If you dedicate your life to the development of courage, authenticity, accountability, discipline, sacrifice, and flow, who would you become, and what would you accomplish? I believe in your talent, and I can’t wait to see what you become. How can I help you develop the skills you need to unleash your potential?”<br><br>How can you say that you love someone if you do not embody that spirit in their life?"
@christopherinsalaco9512,This fool got plastic surgery on his face
@leaniduplessis5947,"I appreciate how much Dr. Peterson drew back to biblical principles. At the end of the day, the Bible is a wealth of valuable knowledge that can direct your life in a very positive way."
@negauzofficial,Script pdf? Pls
@nikkoXmercado,Do not use God&#39;s name in vain: Do not claim divine motivation for self-serving behavior.
@giedrejakubauskiene2017,Dr .Jordan Peterson is the Best! Thank you ❤
@ericfrasier4045,Manscaped ad while discussing Ron Jeremy.  I tip my hat to your editing team lol
@markwrede8878,Your life is destroyed by the organized crime syndicate called capitalism.
@daviddenman1438,I think he’s had a stroke and none of you are smart enough to have noticed
@Cynthia_108,"Regarding your discussion about higher education around <a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=170"">2:50</a>, I was fortunate to have had the type of professor you described who taught me how to think. He was a philosophy teacher, and he literally said &quot;my job is to teach you how to think&quot;. Interestingly, this was at an excellent community college in California in the late 1980&#39;s. Many good teachers there back then, #1 ranked in CA at the time. AA degree in Liberal Arts gave me a great foundation and inspired me to want to learn. I hate it when people talk down about community colleges, like they&#39;re all inferior to Univerities. Some probably are, but many Universities aren&#39;t preparing students for success. I transferred to a state university for my major courses, which was also a very good program with excellent teachers whom I remember fondly. Maybe I was lucky. I am grateful to those teachers. It&#39;s a shame to see what&#39;s going on in higher education nowadays. Dr. Peterson is providing a great alternative, I wish him and his students success."
@anthonylmclay5697,Was reading mark 3 yesterday and when he mentioned blaspheming the holy spirit I recalled having just read about that in verse 28-30 but I feel like his description of the sin itself is his own interpretation. I would love for him to describe how pathological lying is the same as saying the works of the holy spirit are evil. From a philosophical/educational standpoint. I am curious.
@private2546,"I like this guy so far. This is the first time I&#39;ve heard of him. I get what he is saying and having been on the journey without his words and without god or religion being a part of it. I like doing the work for myself and not forcing it on me or others. His philosophy is kind and caring and some people may need the god part but some don&#39;t. Please don&#39;t judge. Doing good can lead to doing more good and getting  better at it. The funny thing is when a Christian assumes I am a Christian (not) gets a befuddled look on their face because I do good things, smile, love, be kind, do the right thing, etc. They try to force me to join their club and believe in their religion. True I have days when I hate, grumpy, sad but heck someone comes along and gives me a sincere smile and I&#39;m reminded  to have a good day."
@SLucy,Why does YouTube keep putting this on my playlist????? 😡😡😡😡
@DoubleThousands-x8y,"&quot;you don&#39;t let go of what you worry upon then you cannot really experience the adventure&quot; of what I believe to interpret from this genius, in life.<br><br>I always knew of this moral obligation myself but I really needed to hear that at that certain time - thank you @JordanPeterson"
@TSIRM0,"two things that I’m confident of now, tonight after watching the beginning of this podcast. Even though I’m going to say this, I think that Candace Pierce,devori, mk, and all the great podcasts like Tim and adventure obligation Emily Jasinski who is probably a, Chris Williamson’s show modern wisdom has to be hands-down the best edify podcast podcast in history – but I’ll just say for 2024 and probably for 2025 – I don’t get it but somehow him and crew have figured it out is the perfect combination of everything and I know some other podcast are just as good but I don’t know this is so edifying every time I listen to it I can’t even take all the greatspirit edify information is just a treasure literally"
@hedrickallen7432,JP is a master raconteur of psychosocial trends and their origins. Excellent interview.
@marcusknott4479,That was a very insightful conversation
@musicjeffyoung,"<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=4740"">1:19:00</a> Every day💪"
@edgarortiz7439,What a charlatan!! He is no philosopher!!
@davidlepore4552,You should be very proud about this interview...youve done  some things no one else is talking about...
@dacotahq7532,@jordanpeterson
@KAREEM-uw2ml,❤❤❤
@MouseMeanwhile-e8j,Great job
@K23248,IM 71 AND NEAR THE END OF MY LIFE. YOU ARE RIGHT HEALTH IS EVERYTHING . ONCE YOH LOSE YOUR GOOD HEALTH YOU CAN ACHIEVE NOTHING
@americasmansman7363,"Jordan glitches every so often, buffering.  No jk he is carefully choosing his words - not what media has trained us to expect"
@tekla42,Jordan ♥️
@AliaksandrKauretski,I wish there was some dumber version of Mr. Peterson out there so my undeveloped brain could follow
@AnneDahl-rr6wd,"In my burglary tefts case , its not about mindseth but about ressurses"
@annettebicer7555,Wow over 10 million views!
@rayakoth,"<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=5660"">1:34:20</a> I heard that, Chris 😂 but it is true. Sounds like someone got some healing to do 🫂"
@AdamWilliams-r3o,Trailer park boys. I love dr p. Good show.
@shtuu18,Im one of a kind musk can kcus it
@brandonnoble1025,I think I&#39;ve finally reached this stage. I have no need to be fearful. I can handle what comes. In every arena of life.
@jhitchcock5503,"I know that Dr. Peterson probably won&#39;t see this, but it&#39;s been a long time since I&#39;ve seen the professor whose lectures I watched while studying for my bachelor&#39;s in psych, as a grandmama. I&#39;m proud of the work he has been doing to heal himself. Good job, sir."
@felipejrjr9495,Maskin
@JerzyytheCosmic1,"Wow, the atrocity commited. I agree with almost everything Dr. Peterson is saying here, but you absolutely and unequivocally do NOT have to be married. Is he nuts? &quot;Oh yeah, you absolutely have to be so superficial you MUST deal with the whims of a woman strictly so and at any moment give up half of your belongings.&quot; Laughable. The most rapid self understanding comes from being alone. It&#39;s called truly understanding metaphysics, how they turn into physics, afterwards which you can manage your existence or will in a much more self-realizing / encompassing / healthy manner."
@mr.gafolopolos7677,The amount of information and insight Dr. Peterson is able to deliver is honestly overwhelming. This is hard to listen to. In a good way
@damiens6465,Dr. Petersons relating Tate to a psychopath for having ability and confidence to attract women isn’t helping today’s completely confused men.  <br>Peterson then immediately goes on to say be dangerous which is good advice. Older interview hopefully Dr. Petersons opinion has changed. Masculinity is being attacked in the west and that take on Tate surprised me. <br><br>We’re going to pay a big price someday for leading this generation of men to go astray.  If you’re not calm and confident fake it till you make it. Make yourself into a Man- we Need them.
@mikey--mike,Zion
@hunterwright8738,"Wow, I wrote my comment before I heard whst he just said at 7 minutes! God is a great confirming of truth . Amazing"
@hunterwright8738,"Beautifully orchestrated and intentional wording by  Dr Peterson..to describe the human experience to walk in truth, light &amp; purpose rooted in hope and Faith. The beginning of wisdom is the fear of God…. And rightly found in abandoning oneself for the pursuit of Gods purpose which pre-requisite is to courage &amp; hope to become the best version &amp; representation of heaven on earth &amp; the demonstrated fruits of the Spirit. Love him and his lovely, wife , Tammy. What gifts to humanity. (Children as well) 🙏🏻"
@melfromStaines,What are you talking about????
@lauhic677,"<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=1274"">21:14</a> you have to start at the bottom to rectify what&#39;s weak. <br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=1346"">22:26</a><br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=1515"">25:15</a> Aïe <a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=1563"">26:03</a><br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=8250"">2:17:30</a> quand t&#39;as un objectif : sois tu choisis de confronter le dragon, sois tu ne fais rien. Dans tous les cas, tu fais une decision. L&#39;important c&#39;est de regarder la réalite en face, et d&#39;accepter de partir d&#39;en bas si t&#39;es incompétent et de décomposer cet objectif ( gros dragon ) en plus petits. Alors, tu peux devenir de plus en plus fort, et c&#39;est LE plus important. <br>You got to start at the bottom or you lie to yourself and will fail : <a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=1274"">21:14</a><br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=9172"">2:32:52</a><br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=9325"">2:35:25</a><br>An adventure is by definition unknown and unpredictible. So you cant be at peace with what&#39;s going to happen but you can be with how you will think and react. You can&#39;t know the dragon, but you can know your equipment."
@anand8905,What a clown 🤡
@kc96pba,"<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=780"">13:00</a>"
@lfay8177,"I&#39;m a big fan of Jordan, I started his new book. I don&#39;t think he&#39;d be my go to for parenting advice though.. a 14 month old isn&#39;t a tyrant for crying when mom leaves the room. 14 months is the peak age for separation anxiety. Babies don&#39;t express emotions to manipulate..they can&#39;t talk! How else are they supposed to communicate their feelings?"
@karinread5490,Mania is fun until the wreckage after
@jasonherman2126,The United States of America is going to be destroyed because we don&#39;t know how to mind our own business and we are the apitimy of hypocrisy. We point our fingers at others and yet we are heathens ourselves  these other countries are getting sick and tired of our crap
@pepp4560,"How can you have intellectual pretensions but not even know who the Pharisees were? Have you never read the Gospels, man! The knowledge of God is the beginning of wisdom, my friend. Chris is going to rake you over the coals!"
@Smilemore555,"Really? Ok, i guess im using fear then instead of trying to not allow the world to plumit. Oh well. I guess ill stop caring then. Bye"
@321Jessi,🐯 : Wow 🐯<br>🇿🇦 ❤ 🇺🇲...... ✌
@Marcustheseer,You dont have to do remarkable things just follow youre exitment.<br>And what is remarkable annyway? Doing what you like is already remarkable
@slothinker,"Question- Can fantasising ever be positive?- e.g. you imagining yourself being brave in a particular scenario- are you then more likely to enact that in real life, or might the fantasising be rested on as if you have already achieved that goal?"
@robinsss,Maybe im not stupid
@justChike,"Brilliant <a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=5280"">1:28:00</a>"
@scottwinegar8539,Anyone and everyone will leave you behind for a dollar
@LCculater,Money talks for these podcast guys lol 😂😂😂 I’m so n I make a dhitlosd to o?
@canjian1783,"Chris Williamson doesn&#39;t wear socks, that&#39;s a recipe for smelly sneakers and toe jam.<br>🎩 you&#39;re welcome sir."
@battybeef,&quot;you can&#39;t be mentally healthy in the absence of a long-term relationship. you have to be married&quot; - talking directly to the single dude interviewing him haha
@codygalindo8379,"<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=569"">9:29</a> its not a delusion but it is a very abstract and also very tangible thing that can happen. But how do you bring yourself into bridging the gap? (3.22 outta 5 rn as i say this but the point is there) Bridgeing the gap between doubt and reality requires a very tangible source and the only source that is tangible at all times is yourself (as dogmatic as that may come off)"
@dinogerc318,"All of these talks are completely irrelevant if you dont Believe in Jesus Christ of Nazareth! Wisdom only comes from God, Jesus Christ of Nazareth!"
@roseblues,What is life??? A preparation for death... ?
@JaylenPeters,i don&#39;t think i have ever disagreed with Jordan. who the hell am i to question it anyway lol
@roblefort4813,"This, in my humble opinion, is probably the best JP video I have ever watched. Thank you Chris."
@PeterLaFontaine-h8b,"Jordan takes bible stories and calls them metaphors because many are obviously nonsense and then he makes up his interpretation of them as if in some ways that he has all the answers, almost like a preacher.<br><br>I think people even like the podcaster are bamboozled by his delivery his &#39;word salad&#39;"
@fasa34,This is the best video I&#39;ve probably listened to in my life. I accidentally stumbled upon it.
@michelleworford3491,My ex-husband would throw the bucket I had my arm soaking in because I was bitten by a brown recluse spider because he thought I was talking on the phone too loud. My Ex husband kicked me in the face in front of my two year-old child and I still stayed with him for 13 years. But I love this man but not everything can be fixed!
@claytonmatheny2428,I am positive and every move that I make.I lived my life that way since I was told I would never walk again when I was 5 years old.That&#39;s another story positivity in the mind.It&#39;s good for the body and soul.And it works
@claytonmatheny2428,I actually thought the movie was pretty good and that he played the Red Skull very well
@Persefone94,"You don’t ”pick” a faith or ”choose” faith because it is more comfortable. I mean dumb people do, but atheists are not atheists because we don’t want to feel meaning. We are because we see that it IS an illusion to ”believe”. Pick the illusion? No. It’s not pickable!"
@claytonmatheny2428,"Doctor Peterson, I would love to have an intelligent conversation with yourself and Russell Brand"
@claytonmatheny2428,My grandfather&#39;s taught me that if you always tell the truth the story says the same.If you lie you have to remember your lie and try to get it right
@claytonmatheny2428,Elon musk is so intelligent that it is unintelligible to other people
@claytonmatheny2428,Have you ever heard Doctor Peterson? That Elon was born autistic and he got a grasp on it and with being like that. Comes higher  intelligence far more focused and unbelievabable  lintelligence from being autistic. If you can get a handle on it and he did and he masters it.🎉
@claytonmatheny2428,The pride to me comes in being the best of me that I can be and getting all that I have. I compare myself to no one
@claytonmatheny2428,I am appreciating this conversation.Gentleman and I have reached out to a couple of friends that need to hear this also
@mikeflynn2940,His answer was so long I forgot the question
@hypolaristic,this comes up in my feed that often wtf google
@mrroboto4909,The fear of God is the beginning of all wisdom!!!
@fernandovargasmejia8512,"Elon Musk is not creative, he bought into all those companies.<br><br>Naming his child was on him and look what a train wreck that was."
@jonygamingengusa1660,Can bro stop saying inflection point 🤣🤣 I have never heard anybody say that. You dont have to act smart lil bro. The only people that will think youre smart by saying &quot;inflection point&quot; are those that are on the start of the bell curve
@michelleriley,"Dr. Jordan Peterson should be the president of Canada. That system they have now sucks, and I don&#39;t know that much about Canada. Besides, Will Arnett and Jordan Peterson came from there. How do yall do that free healthcare thing, nazis, I mean Trudeau admins???"
@DouglasBaron-d4q,Couldn’t be prouder of my wife! You two are something here and i cant wait ti watch it grow
@steammastertroymeikle7255,Oh that was hilarious I don&#39;t know how you got through the landscape advertisement with the help rolling on the floor well done sir
@5-waymusic421,"<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=8549"">2:22:29</a>"
@murariyt9757,❤
@WildAirCoach,"If you’re in Vancouver, Toronto, or anywhere in Canada, and you’re wondering why housing prices are so insanely high, you need to read Wilful Blindness. How did money laundering has completely distorted the real estate market.... by inflating prices far beyond what homes are actually worth. Because of this, so many Canadians can’t afford to buy a small crappy home or even just a small piece of land. It’s created a massive housing bubble that’s driving rents sky-high, making it impossible for people to save, buy, or move forward. And when you’re stuck in a rental market with no way to buy property or escape the cycle, it’s modern day slavery....... You work endlessly just to pay rent, with no hope of building a future. Wilful Blindness shows how we got here and why it’s time to face the truth about Canada’s housing crisis."
@stefanlarie2151,"Unfortunately, I did not had a Jordan Peterson equivalent in my life when I was at my lowest"
@SteveInTokyo-b8n,Just an advertising channel. rubbish
@SteveInTokyo-b8n,Presenter talks too much. Wasted opportunity.
@Cynthia-ql9te,Wow why are they supporting that all seeing eye on the desk there
@Ash-zh5yg,"The night that changed my life, I was at the top of my frustrations, and before I slept asked God to give me a piece of his mind and not his hands. I wanted to solve my own problems. That was the gateway that permanently broke the chains for me."
@chainsawtony6857,I don&#39;t have a problem criticising muslims because it is absolutely about muslims. Islam is the cause of all the world&#39;s troubles.
@lauryville,"<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=3067"">51:07</a> more afraid of a bad cause than a bad effect"
@stephenholmgren405,My negative beliefs were pounded into me via religious indoctrination. Glad I got rid of those a long time ago. I wish Peterson was honest about much more regarding the damaging aspects of religion and quit treating it like a saving grace. He did admit it during a discussion with Sam Harris that is was for &quot;stupid people.&quot; Music to my ears
@fabienleon7566,So grateful for this 🙏✨️
@TerRowle-ut2ns,"I am Jordan Peterson, I sound like a little girl, it’s like now I’m gonna cry boo hoo."
@JANETK.POLUDNIAK,"There&#39;s a video about Elon Musk (I watched it today) that tells his life story, the horrific abuse he suffered, and the struggles he faced to get to where he is today. It wasn&#39;t pretty, but really sheds light on why he would say, &quot;Most people would NOT want to be me.&quot;"
@davidfarrall,Thanks
@davidfarrall,Left wing malleable psychopathy? Versus Right wing bigoted psychological bully boy tactics maybe?? Read Kevin Dutton and Andy McNab to understand the true potential of psychopathy……….Bad Psychopaths like Hannibal Lecter need not apply.
@PRISOM1988,"Sir, your insights are like a beacon, illuminating the path through the complexities of reality. Your wisdom has been a constant source of guidance, and I will forever cherish your fatherly influence on my journey."
@PANdaM0Tivati0nES,"did anyone else notice the glitch with his hands at <a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=5225"">1:27:05</a>?"
@cxa011500,"I feel like JP talks a lot about the importance of truth, but isn&#39;t being completely honest when he evaluates religion. For example, he must know that in most religions, God is an actual diety, not the metaphorical summation of all that is good. It seems that he always goes after atheists, but gives religious fundamentalists a pass. He said there is no conflict between religion and science, but it&#39;s people who claim to be believers that cause the most conflict with science. He doesn&#39;t acknowledge at all modern-day Christian scientists who push against evolution or a universe designed without a sentient creator. He doesn&#39;t acknowledge the past of scientists being harassed or even excommunicated from the Church like Galileo BECAUSE they presented the truth. Fundamentally, religion and science must be at odds to a degree, because science can change, and the &quot;truth&quot; of God is never supposed to change.<br><br>Also, he doesn&#39;t seem to acknowledge at all that other cultures have other views, religions that make sense the them as much  sense to them as Christianity makes to most of those in the Western world. It depends on the culture you were brought up in. And he also doesn&#39;t seem to acknowledge that eventually, if society embraces religion like he seems to want, it will bring about the conflict of which religion is the &quot;right&quot; religion, and why other religions are wrong. And in the past, that conflict has brought about war and violence as much as anything else."
@bily4566,"Jordan Peterson read this you did an interview with Jesse Lee Peterson. You need to go to that man and do what he tells you to do. Forgive your mother forgive your father do the silent prayer use your intellectual but not don’t become it. I’m telling you if you don’t, you live in hell now, and you will stay in hell foreverI love you, brother."
@frostynugs69,"This has literally been the best and most practical interview w Dr. Peterson I’ve ever heard. At least for me. Amazing job interviewing! I got so much out of this, all your questions and all the stories really hit with my own."
@Assimpleasthat100,Never met the type of people he talks about...thank you universe 👏
@nicholaslandolina,Looks like a cia interogation
@mayranoguera838,The audio keeps pausing
@josephpaul5555,The wisdom of. This  world is   Foolishness to God
@rajkumar-tq8qz,Thank you sir
@jackgoldsmith8494,"Get stuffed, i tryed to feed an elephant once at London zoo,it looked sad and hungry,is that a waste of time,ok i will admit feeding an elephant a house brick,then getting thrown out of zoo ,was so so cool,im french bonjour of,we we."
@carlharmeling512,"Anyone who spends three and a half hours listening to Jordan Peterson’s take on life is not acting in their own best interests unless, that is, they are being paid a large sum of money to review his presentation."
@LadyJpraise2024unbound,Delusion and Fantasy......interesting
@LadyJpraise2024unbound,"I wish I had a personal session with this man.  He advice seems to be practical and realistic.  He doesn&#39;t give you fake platitudes about how great your future will be if u do this.....he seems to air on reality of life.  Yes, life is hard. 4 a lot of us, and it can lead to bitterness and going over to evil because nothing makes sense anymore, so why live in a standard of any kind."
@undeniabletruth-HIT,"Amazing, glad I stuck through it"
@damiankruhmin2624,"It just baffles me how he says so many things dead on point then says,&quot;Having a child makes you a better person.&quot; Like...wtf are you looking at, mah dude??!! Maybe YOU became better? But have you looked at anyone else? Be a bartender and/or waiter for a year so you can see real people. They are NOT better. Actually nothing like a child to make the average person even more self absorbed, overreactive and overprotective. Especially in....&#39;Merka. Also nothing like having a child to completely erase your future.<br><br>Jordan: &quot;I have children, look what I do.&quot;<br><br>Everybody ain&#39;t you, bruh. Let&#39;s real talk. <br><br>Outside of all this.....really great episode. I&#39;m at almost 2 hrs in. Finish the rest tomorrow, and video saved for study. Good shit. And JP great but just some things here and there I&#39;m just like,&quot;Dude....wtf you talking about? Just....no.&quot;<br><br>Keep up the amazing work, Chris!"
@rickyrutt,I have down voted and now been forced to unsubscribe. Why does YouTube keep playing this and Eric Weinstein?
